"GSM801988"	"GSM801989"	"GSM801990"	"GSM801991"	"GSM801992"	"GSM801993"	"GSM801994"	"GSM801995"	"GSM801996"	"GSM801997"	"GSM801998"	"GSM801999"	"GSM802000"	"GSM802001"	"GSM802002"	"GSM802003"	"GSM802004"	"GSM802005"	"GSM802006"	"GSM802007"	"GSM802008"	"GSM802009"	"GSM802010"	"GSM802011"	"GSM802012"	"GSM802013"	"GSM802014"	"GSM802015"	"GSM802016"	"GSM802017"	"GSM802018"	"GSM802019"	"GSM802020"	"GSM802021"	"GSM802022"	"GSM802023"	"GSM802024"	"GSM802025"	"GSM802026"	"GSM802027"	"GSM802028"	"GSM802029"	"GSM802030"	"GSM802031"	"GSM802032"	"GSM802033"	"GSM802034"	"GSM802035"	"GSM802036"	"GSM802037"	"GSM802038"	"GSM802039"	"GSM802040"	"GSM802041"	"GSM802042"	"GSM802043"	"GSM802044"	"GSM802045"	"GSM802046"	"GSM802047"	"GSM802048"	"GSM802049"	"GSM802050"	"GSM802051"	"GSM802052"	"GSM802053"	"GSM802054"	"GSM802055"	"GSM802056"	"GSM802057"	"GSM802058"	"GSM802059"	"GSM802060"	"GSM802061"	"GSM802062"	"GSM802063"	"GSM802064"	"GSM802065"	"GSM802066"	"GSM802067"	"GSM802068"	"GSM802069"	"GSM802070"	"GSM802071"	"GSM802072"	"GSM802073"	"GSM802074"	"GSM802075"	"GSM802076"
"GM2A"	-1.72225	-1.05475	-1.60925	-0.98825	-1.219	-1.1995	-1.36375	-1.177	-0.949	-1.73525	-0.99425	-0.91525	-1.34675	-1.2315	-1.24525	-1.3035	-1.1215	-1.71775	-1.8325	-1.17375	-1.34025	-1.59025	-2.06475	-1.321	-1.64825	-1.22925	-0.85475	-0.8935	-1.122	-1.4345	-0.41625	-0.85725	-0.7495	-1.231	-1.469	-0.971	-0.7485	-0.693	-0.7475	-0.37325	-1.02725	-1.54875	-1.0015	-0.777	-1.38825	-0.91175	-1.26625	-1.1885	-1.00625	-0.6495	-1.121	-1.28375	-1.65375	-1.07725	-1.55125	-1.06675	-0.85825	-0.77075	-1.299	-1.41575	-1.30575	-1.22775	-1.54	-1.09025	-1.42725	-1.2325	-0.96325	-1.11225	-1.339	-0.90325	-0.79125	-1.166	-1.14975	-1.08675	-1.11425	-0.8595	-0.766	-0.78475	-0.775	-0.484	-1.10825	-0.64125	-0.211	-0.794	-0.426	-0.79525	-0.97925	-0.7265	-0.63
"HBEGF"	-1.0565	-0.6675	-0.5195	0.083	-0.5305	-0.1835	0.06	-0.7205	-0.607	-1.031	-0.3395	-0.563	-0.08	-0.02	-0.259	-0.9335	-0.611	-1.35	-1.201	-1.0635	-1.4245	-1.2005	-1.5635	-1.049	-0.4195	-0.127	-0.286	-0.659	-0.4045	-0.6175	-0.282	-0.537	-0.0935	-0.8385	-1.3065	-0.552	0.0655	0.2355	0.0965	0.2175	-0.811	-0.8675	-1.109	-0.7135	-0.6	-0.979	-0.425	-0.71	-0.207	-0.57	-0.368	-0.00750000000000001	-0.5675	-0.2295	-0.223	-0.3675	0.088	-0.1555	-0.2265	-0.5805	-0.977	-0.757	-1.2115	-0.0215	-0.773	-0.907	-0.725	-1.174	-0.387	-0.4715	-0.7975	-0.7655	-0.373	-0.0475	-0.2485	-0.1555	-0.5695	-0.722	-0.388	-0.456	-0.7515	-0.3335	-0.0295	0.438	-0.0565	-0.2765	-0.3495	0.119	0.1555
"HMGA1"	0.405	0.7975	0.00800000000000001	0.9715	1.0375	0.58	0.482	0.0355	0.349	0.2325	0.371	0.582	0.2685	0.314	0.289	0.466	0.742	0.0595	0.768	0.701	0.6435	0.7725	0.6015	0.9205	0.7075	0.7885	0.4465	0.7965	0.916	0.975	0.6545	0.907	1.124	1.089	0.444	0.672	0.627	0.7325	0.436	1.1335	0.54	0.5255	1.107	0.6945	1.0935	1.585	0.3465	1.057	0.7145	1.912	1.431	0.7005	1.4445	1.4335	0.961	1.331	0.494	0.369	0.039	0.6995	0.822	0.42	0.394	0.5735	0.617	1.194	0.9855	0.5865	0.7935	0.588	0.388	0.445	0.4745	0.675	0.607	0.85	0.7815	0.775	0.528	0.506	0.729	0.312	0.5155	0.7455	0.5975	0.79	0.8555	1.01	0.685
"HYOU1"	0.876	0.97	0.899	0.762	0.701	0.631	0.678	0.942	0.5	0.101	0.12	-0.024	0.433	0.454	0.729	0.445	0.508	0.306	0.348	0.41	0.454	0.371	0.863	0.806	0.538	0.977	-0.058	0.829	0.174	1.555	0.737	0.751	0.649	0.239	0.812	0.565	0.444	0.646	0.427	0.306	0.826	0.914	0.338	0.765	0.762	0.124	0.406	0.66	0.443	0.778	0.758	1.035	0.362	0.867	0.987	0.215	1.029	0.326	0.721	0.353	1.059	0.543	0.364	0.993	0.625	0.769	0.645	0.369	0.454	0.448	0.191	0.48	0.803	0.369	0.944	0.382	0.589	0.34	0.526	0.604	0.279	0.613	0.591	0.905	0.325	0.979	0.364	0.75	0.624
"ID1"	1.453	1.469	1.748	1.775	1.761	1.797	1.745	0.609	0.736	1.196	1.173	1.354	1.776	1.918	1.516	1.217	0.968	0.799	0.829	0.718	0.797	0.895	0.769	1.604	1.602	1.459	-0.157	0.784	1.681	1.56	1.549	1.448	1.709	0.759	0.495	1.065	0.824	1.019	1.053	0.324	0.997	1.118	1.11	0.847	0.849	0.784	1.577	2.069	1.897	0.33	0.676	0.865	0.427	1.041	0.853	0.885	1.895	1.961	2.336	1.242	0.331	2.096	0.823	1.545	0.963	0.463	0.46	0.684	0.916	1.123	1.244	0.213	0.759	1.11	1.136	1.934	1.058	1.14	1.65	1.032	0.635	1.509	1.516	1.591	1.339	1.05	1.218	1.211	1.543
"IFI16"	0.408	0.2685	0.561	0.0845	-0.124	0.513	0.268	0.328	0.4295	0.1965	0.1015	0.501	0.315	0.4595	0.3355	0.3715	0.0445	0.4915	0.214	0.2985	0.483	0.392	0.437	-0.2355	-0.1235	-0.131	-0.1285	-0.2105	-0.0325	-0.16	-0.4235	-0.4515	-0.774	-0.0415	-0.2825	-0.5165	-0.27	-0.455	-0.417	-0.5945	-0.036	0.017	0.275	-0.2805	-0.416	-0.253	0.1125	-0.1965	0.2015	-1.1135	-0.962	-0.658	-0.7065	-0.244	-0.338	-0.1845	-0.4215	-0.426	-0.4275	-0.761	-0.991	-1.118	-0.81	-0.59	-0.548	-0.794	-0.6615	-0.6	-0.3975	-0.983	-0.8425	-0.6915	-0.3415	-0.686	-0.7005	-0.741	-0.835	-0.7825	-0.4155	-0.1925	-0.412	-0.0305	-0.338	-0.1385	-0.1235	-0.2315	-0.4755	-0.879	-0.3895
"JUNB"	-1.5805	-0.6975	-0.6385	-0.863	-0.6955	-1.233	-1.098	-2.0975	-1.8925	-1.39	-1.1735	-1.4225	-1.417	-1.583	-1.397	-1.2125	-1.425	-1.6085	-1.5065	-0.8075	-1.3615	-1.3295	-1.19	-1.526	-1.208	-1.2075	-2.349	-1.042	-1.1355	-1.299	-0.89	-1.2075	-0.808	-1.3745	-1.4635	-1.9	-0.978	-0.9065	-1.202	-1.485	-1.046	-1.4125	-2.1425	-1.399	-1.5205	-2.462	-1.7405	-1.1045	-1.1575	-1.559	-1.802	-1.309	-2.388	-0.964	-1.3535	-1.85	-1.3005	-1.457	-1.327	-2.0495	-2.268	-1.3805	-1.8785	-1.448	-1.793	-1.5365	-1.512	-1.7785	-1.4445	-1.884	-1.483	-1.581	-1.5935	-1.4815	-1.545	-1.186	-1.4265	-1.359	-1.335	-0.9255	-1.5705	-1.022	-0.638	-1.3605	-0.856	-1.076	-1.6385	-1.426	-1.5565
"NFKBIA"	-1.126	-1.014	-0.721	-1.125	-1.011	-0.694	-0.922	-1.122	-1.096	-0.939	-0.863	-0.832	-1.061	-1.013	-0.565	-1.265	-1.371	-0.99	-1.093	-1.018	-0.799	-0.878	-0.696	-1.511	-1.549	-1.538	-1.636	-1.336	-1.471	-1.41	-1.722	-1.619	-1.753	-1.024	-0.815	-1.186	-1.504	-1.655	-1.807	-1.177	-1.26	-1.502	-1.333	-1.333	-1.472	-1.435	-1.534	-0.834	-1.123	-0.594	-0.504	-0.073	-0.455	-0.939	-1.206	-0.978	-1.289	-1.131	-1.086	-0.401	-0.948	-1.29	-1.35	-0.97	-1.234	-0.89	-0.715	-0.707	-1.362	-1.854	-1.183	-1.295	-1.113	-1.569	-0.983	-0.932	-0.918	-0.785	-1.348	-1.134	-0.898	-1.378	-1.438	-1.111	-1.549	-1.566	-1.691	-1.814	-1.345
"NMI"	0.3913	0.3294	0.3203	0.2144	0.5842	0.5946	0.3866	0.6087	0.7366	0.3397	0.4634	0.638	0.6033	0.7468	0.593	0.4549	0.3415	1.0399	0.0576	0.3024	0.3808	0.4759	0.3853	0.2893	0.0445	-0.088	0.4268	0.0545	0.333	0.2968	0.129	-0.016	-0.181	0.1482	0.014	-0.1763	0.111	-0.1576	-0.049	-0.3134	0.2041	0.4318	0.6394	0.0735	0.0155	0.4748	0.3863	0.3224	0.485	-0.3375	-0.2473	-0.3339	-0.1948	-0.1698	-0.2828	0.0582	-0.2614	-0.2398	-0.105	-0.0735	-0.0356	-0.372	0.1174	0.1409	-0.4414	-0.3598	-0.2693	0.0521	0.0089	-0.4345	-0.1594	-0.0757	0.1364	-0.5971	-0.4483	-0.2533	-0.1879	-0.0393	-0.1431	0.096	0.1867	-0.3128	-0.0742	-0.3527	0.1468	0.217	-0.0527	-0.2538	0.1209
"NUS1"	0.03	0.024	0.306	0.203333333333333	0.538666666666667	0.382333333333333	0.629	0.366333333333333	0.196	0.452333333333333	-0.0876666666666667	0.227333333333333	0.659666666666667	0.171333333333333	0.455666666666667	-0.253333333333333	-0.555	-0.186	-0.300333333333333	-0.323666666666667	-0.313	-0.365333333333333	-0.185333333333333	0.513	0.281	0.168666666666667	0.122	-0.389333333333333	-0.340666666666667	-0.161666666666667	0.624333333333333	0.496333333333333	0.0866666666666667	0.221	-0.145	-0.074	0.272666666666667	0.258666666666667	0.534333333333333	-0.226	-0.00499999999999999	0.178666666666667	0.0803333333333333	0.464	0.383666666666667	0.542	0.256333333333333	0.604	0.157	0.784	0.674333333333333	1.13966666666667	0.637	0.712	0.650333333333333	0.692333333333333	0.983666666666667	0.217	0.948666666666667	0.254666666666667	0.803	0.494333333333333	0.534	0.317666666666667	0.485333333333333	0.52	0.132666666666667	0.610666666666667	0.297333333333333	0.472333333333333	0.0133333333333333	0.763666666666667	0.748666666666667	0.223	0.121666666666667	0.460666666666667	0.430333333333333	0.412	0.318	0.359666666666667	0.537333333333333	0.350333333333333	0.769666666666667	0.710666666666667	0.265333333333333	0.514666666666667	0.357	0.463333333333333	0.312
