"GSM801988"	"GSM801989"	"GSM801990"	"GSM801991"	"GSM801992"	"GSM801993"	"GSM801994"	"GSM801995"	"GSM801996"	"GSM801997"	"GSM801998"	"GSM801999"	"GSM802000"	"GSM802001"	"GSM802002"	"GSM802003"	"GSM802004"	"GSM802005"	"GSM802006"	"GSM802007"	"GSM802008"	"GSM802009"	"GSM802010"	"GSM802011"	"GSM802012"	"GSM802013"	"GSM802014"	"GSM802015"	"GSM802016"	"GSM802017"	"GSM802018"	"GSM802019"	"GSM802020"	"GSM802021"	"GSM802022"	"GSM802023"	"GSM802024"	"GSM802025"	"GSM802026"	"GSM802027"	"GSM802028"	"GSM802029"	"GSM802030"	"GSM802031"	"GSM802032"	"GSM802033"	"GSM802034"	"GSM802035"	"GSM802036"	"GSM802037"	"GSM802038"	"GSM802039"	"GSM802040"	"GSM802041"	"GSM802042"	"GSM802043"	"GSM802044"	"GSM802045"	"GSM802046"	"GSM802047"	"GSM802048"	"GSM802049"	"GSM802050"	"GSM802051"	"GSM802052"	"GSM802053"	"GSM802054"	"GSM802055"	"GSM802056"	"GSM802057"	"GSM802058"	"GSM802059"	"GSM802060"	"GSM802061"	"GSM802062"	"GSM802063"	"GSM802064"	"GSM802065"	"GSM802066"	"GSM802067"	"GSM802068"	"GSM802069"	"GSM802070"	"GSM802071"	"GSM802072"	"GSM802073"	"GSM802074"	"GSM802075"	"GSM802076"
"PPL"	-3.186	-2.97	-3.093	-2.943	-2.337	-2.846	-2.638	-3.001	-3.199	-3.428	-3.655	-2.784	-3.053	-3.518	-3.383	-2.409	-3.013	-3.58	-3.356	-2.395	-2.968	-2.753	-3.236	-2.944	-3.238	-2.832	-3.193	-2.525	-3.087	-3.044	-2.608	-2.863	-2.801	-2.911	-3.289	-3.369	-2.774	-2.91	-3.268	-2.804	-2.686	-3.164	-3.217	-2.949	-2.802	-3.206	-3.707	-2.688	-2.662	-2.248	-2.005	-2.428	-2.961	-2.596	-2.72	-3.335	-3.046	-3.55	-3.278	-3.024	-3.231	-2.724	-2.562	-2.704	-2.839	-3.064	-2.826	-2.868	-3.424	-2.419	-2.735	-2.837	-2.56	-3.644	-3.284	-2.66	-3.271	-3.251	-2.811	-2.666	-3.145	-3.043	-1.74	-3.139	-3.431	-2.627	-3.06	-2.606	-3.259
"PSMB8"	-0.451	-0.262	-0.445	-0.601	-0.63	-0.478	-0.748	-0.505	-0.749	-0.921	-1.185	-0.194	-0.673	-0.915	-0.807	-0.41	-0.757	0.81	-0.125	-0.409	-0.401	-0.5	-0.715	-0.776	-0.863	-0.725	-0.695	-0.578	-0.63	-0.758	-0.82	-1.135	-0.744	-0.913	-0.561	-0.882	-0.786	-0.818	-1.085	-1.07	-0.587	-0.42	-0.451	-0.911	-0.831	-0.879	-0.588	-0.964	-0.561	-1.233	-0.379	-1.311	-1.216	-1.324	-0.765	-0.879	-1.123	-0.94	-0.989	-0.653	-1.022	-1.165	-1.253	-0.809	-1.075	-1.094	-0.961	-0.92	-0.845	-1.352	-1.317	-1.144	-1.063	-0.987	-0.72	-1.134	-0.919	-1.118	-0.848	-0.954	-1.193	-1.655	-1.046	-1.369	-0.91	-0.941	-0.936	-1.037	-0.832
"PSME1"	0.1765	0.3775	0.4805	0.273	0.165	0.155	0.1205	0.2045	0.236	-0.098	-0.258	0.141	0.0805	0.194	0.0695	0.17	0.2315	0.539	0.3125	0.2185	0.2425	0.109	0.0775	0.156	0.0655	0.224	0.243	-0.039	0.16	0.2565	-0.0595	-0.0215	0.3575	0.1055	0.0915	0.2	0.0175	0.0085	-0.067	0.0055	0.1285	0.144	-0.1245	0.014	-0.028	-0.41	0.111	0.079	0.092	0.0795	0.4135	0.28	-0.069	-0.172	0.155	-0.1585	-0.0655	-0.0225	-0.0265	0.2425	0.018	-0.1785	-0.3	0.0575	-0.104	0.0585	0.0815	-0.0135	0.3175	-0.262	0.113	-0.0585	0.026	0.204	0.174	0.0025	0.1595	0.02	0.2025	-0.092	-0.0825	-0.335	-0.142	-0.2535	0.211	0.0645	0.222	0.233	0.131
"RAB3D"	-1.271	-1.5265	-1.974	-1.7745	-1.8185	-1.46	-1.997	-2.0255	-1.8945	-2.3445	-2.061	-1.8005	-2.1955	-2.3175	-1.769	-1.508	-1.473	-2.136	-2.011	-1.437	-1.392	-1.585	-2.0045	-1.6995	-2.0315	-1.6605	-1.7865	-1.3685	-1.455	-1.6605	-1.6235	-1.6855	-1.4035	-1.9305	-1.5865	-1.6465	-1.5685	-1.5135	-1.8445	-1.852	-1.6835	-2.3765	-2.286	-1.6415	-2.296	-2.2275	-2.44	-1.8085	-1.703	-1.478	-1.8025	-1.6	-1.744	-1.8145	-2.35	-1.7855	-1.729	-1.9005	-1.6315	-1.782	-1.9685	-1.831	-1.581	-1.713	-1.8055	-1.9995	-1.823	-1.82	-2.031	-1.6635	-1.889	-2.1885	-1.9735	-2.002	-1.9995	-1.62	-1.518	-1.601	-1.731	-1.444	-1.767	-1.439	-1.257	-1.5345	-1.6845	-2.0105	-1.6575	-1.858	-1.9035
"RAP2B"	-0.2355	0.1195	-0.1385	-0.1625	-0.0025	0.096	-0.073	0.103	0.2925	-0.1085	0.01	-0.102	-0.057	0.07	0.346	-0.0525	0.1685	0.4605	-0.099	0.034	-0.108	-0.158	-0.392	0.1325	-0.0765	0.0735	-0.1825	0.017	-0.076	-0.181	0.2195	-0.1065	0.2025	-0.1975	-0.3285	-0.0615	0.066	0.158	-0.214	-0.085	0.0575	-0.2375	0.2335	0.1605	-0.2705	0.138	0.219	0.031	-0.129	-0.2215	-0.364	-0.696	-0.6955	-0.2775	-0.466	-0.201	-0.0335	-0.0605	0.1275	-0.349	-0.5805	-0.4585	-0.535	-0.133	-0.1875	-0.493	-0.4185	-0.343	-0.463	-0.335	-0.0055	-0.346	-0.4475	-0.649	-0.2975	-0.0835	-0.096	-0.079	0.025	-0.099	0.045	0.1085	-0.005	-0.1415	-0.0895	0.1115	0.1325	0.1585	0.1775
"SDC1"	-2.93	-2.274	-2.597	-2.219	-1.7005	-2.3565	-2.3375	-2.1875	-2.042	-2.8025	-2.7	-2.1065	-2.665	-2.6315	-2.9315	-2.1565	-2.9155	-3.4635	-3.2945	-1.586	-2.166	-2.1315	-2.704	-2.492	-2.5645	-2.036	-2.658	-2.1205	-2.4155	-2.425	-1.8555	-2.16	-2.0985	-2.411	-3.049	-3.081	-1.724	-2.003	-2.53	-1.776	-2.159	-2.723	-3.11	-2.2575	-2.4585	-2.8495	-3.26	-2.4405	-2.329	-1.721	-2.133	-1.9725	-2.7515	-1.7885	-2.5225	-3.0255	-2.36	-2.388	-2.827	-2.8155	-2.505	-2.1035	-2.443	-2.387	-2.8155	-2.37	-2.149	-2.6385	-2.623	-2.021	-1.902	-2.3825	-2.375	-2.227	-2.8135	-2.1295	-2.627	-2.5305	-2.5005	-2.297	-2.1705	-2.117	-1.5725	-2.0285	-2.308	-1.892	-2.2485	-2.1135	-2.3
"SEC61B"	0.7185	0.2145	0.28	0.576	0.475	0.8115	0.5105	0.7325	0.586	0.6555	0.4095	0.806	0.9455	0.895	1.034	0.7875	0.6425	0.854	0.77	-0.048	0.4035	0.3815	0.367	0.5525	0.7185	0.3885	0.6145	0.064	0.526	0.5835	0.48	0.4155	0.3275	0.28	0.376	0.3225	0.481	0.3025	0.471	0.266	0.4595	0.63	0.98	0.622	0.6945	1.05	0.873	0.3455	0.721	0.242	0.3445	0.1405	0.652	0.4905	0.715	1.0185	0.795	0.6055	0.6325	0.6425	0.163	0.4695	0.3445	0.636	0.551	0.361	0.3665	0.384	0.6285	0.409	0.8565	0.3975	0.5505	0.857	0.704	0.49	0.319	0.492	0.755	0.371	0.465	0.563	0.51	0.533	0.7035	0.256	0.3645	0.272	0.7195
"SEC61G"	1.815	1.6	1.657	1.859	1.939	1.99	1.68	1.987	1.849	2.009	1.869	2.069	2.176	2.225	2.119	1.725	2.005	1.167	2.017	1.532	1.718	1.77	1.443	1.425	1.681	1.645	1.798	1.133	1.834	1.514	1.61	1.594	1.328	1.73	1.423	2.057	1.187	1.231	1.422	1.7	1.913	2.044	2.409	1.996	2.065	2.405	1.983	1.786	1.77	1.441	1.104	1.37	1.546	1.685	1.519	1.75	1.608	1.601	1.571	1.38	1.076	1.448	1.492	1.645	1.76	1.247	1.485	1.5	1.856	1.911	1.931	1.576	1.864	2.138	1.802	1.756	1.048	1.461	1.854	1.222	1.584	1.57	1.107	1.552	1.708	1.692	1.906	2.079	2.049
"SERP1"	-0.3425	-0.343	-0.0785	-0.4725	-0.5725	0.331	0.012	0.4075	0.6275	0.444	0.6355	-0.101	0.509	0.3755	0.258	0.4895	0.189	0.887	0.0525	0.113	0.1685	-0.0595	0.2715	0.6265	0.3305	0.067	0.2355	0.4445	0.366	0.502	0.438	0.417	0.778	0.000499999999999997	-0.094	-0.05	0.1115	0.2075	0.4295	-0.2815	0.139	0.358	0.5945	0.0405	0.0825	0.2855	0.525	-0.092	0.33	0.38	0.2355	0.3825	0.695	0.1485	0.3025	1.1045	0.6565	0.12	0.606	0.0235	0.328	0.1495	-0.014	0.193	0.0905	-0.115	-0.202	0.3165	0.4055	0.218	0.0435	0.3525	0.199	0.348	0.2795	0.403	0.3255	0.2715	0.619	0.4415	0.487	0.3415	0.475	0.6245	0.5185	0.162	0.31	0.359	0.673
"SKIL"	1.145	0.025	1.034	0.308	0.946	0.925	0.778	0.469	0.867	0.452	0.234	-0.426	0.263	0.373	-0.057	0.126	-0.089	-1.091	-0.418	0.432	0.11	-0.045	0.405	-0.599	0.77	0.084	0.333	-0.322	0.32	0.957	-0.407	-0.154	0.16	0.055	0.154	-0.186	-0.019	-0.603	-0.132	-0.231	0.042	1.212	0.532	-0.274	0.152	-0.017	0.026	-0.203	-0.043	-0.453	0.267	0.534	0.149	-0.451	-0.176	-0.164	0.048	0.423	0.375	-0.824	0.349	-0.216	0.252	0.093	-0.039	-0.589	0	-0.493	-0.301	-0.09	-0.227	0.212	0.115	-0.22	0.125	-0.125	-0.222	-0.138	-0.056	-0.421	0.008	-0.293	-0.331	0.094	-0.067	0.111	-0.018	-0.136	-0.175
"SOD2"	0.716	1.614	0.947	1.2775	1.095	0.552	0.8535	1.5095	0.78	0.767	1.0655	0.985	2.0265	1.525	1.231	1.605	0.656	1.829	1.042	0.2885	0.8475	0.9615	1.1295	1.488	2.2885	0.854	1.033	0.5625	0.5005	0.78	0.5935	1.2535	0.3935	1.049	1.217	0.6945	0.75	0.885	1.172	0.2065	1.138	0.525	0.575	1.143	1.5985	0.539	1.7975	1.4235	1.09	0.392	1.6585	1.2275	0.0945	1.5215	0.7375	2.082	0.5995	1.145	0.43	0.8535	0.819	0.454	0.672	0.5405	1.2415	1.2065	1.4525	1.146	0.9915	1.24	0.777	1.144	1.17	0.9015	0.8745	0.2815	0.8855	0.6405	1.082	0.927	1.0765	0.8025	0.7405	1.0605	0.9495	0.617	0.61	0.3095	0.517
"SP110"	0.482	-0.002	0.372	0.432	0.057	0.376	0.259	0.461	0.609	0.287	0.353	0.775	0.144	0.308	0.448	0.412	0.587	0.137	-0.209	-0.004	0.361	0.28	0.023	-0.366	0.124	0.007	0.138	-0.41	-0.175	0.07	-0.384	-0.569	-0.685	-0.083	0.129	-0.529	-0.354	-0.756	-0.732	-0.451	-0.299	0.423	0.016	-0.325	-0.216	-0.311	0.103	-0.067	0.234	-0.945	-0.689	-0.225	-0.193	-0.713	-0.279	-0.691	-0.578	-0.494	-0.693	-0.291	-0.274	-1.308	-0.958	-0.428	-0.588	-0.463	-0.455	-0.488	-0.362	-0.505	0.014	-0.124	0.03	-0.505	-0.822	-0.026	-0.522	-0.37	-0.222	-0.586	-0.623	-0.868	-0.395	-0.729	-0.34	-0.224	-0.242	-0.283	-0.083
"SRPRB"	0.844	0.797	0.977	0.462	0.775	0.468	0.498	0.584	0.562	0.372	0.491	0.142	0.774	0.959	0.647	0.307	0.206	0.547	0.344	0.127	0.222	0.112	0.204	0.096	0.457	0.495	0.171	-0.025	0.424	0.183	0.089	0.159	0.079	0.032	0.155	-0.075	0.791	0.536	0.412	-0.236	0.568	0.449	0.374	0.66	0.473	0.313	0.685	0.733	0.371	0.497	0.301	0.621	0.313	0.582	0.394	0.043	0.412	0.276	0.663	0.408	0.161	0.147	0.106	0.438	0.313	0.239	0.312	0.002	0.11	0.106	0.353	0.294	0.646	0.06	0.329	0.698	0.546	0.503	0.664	0.297	0.333	0.538	0.415	0.273	0.62	0.562	0.392	0.297	0.455
"SYVN1"	-0.1475	0.159	-0.0985	0.4235	-0.0765	0.0435	0.084	0.035	0.128	-0.1685	-0.0265	0.1345	0.089	0.28	0.545	-0.0195	0.203	-0.1365	-0.0195	0.024	-0.1975	-0.0625	0.1095	-0.053	0.1165	0.2325	0.197	0.122	-0.2645	0.24	0.346	0.168	-0.2195	0.0205	0.17	-0.1555	0.196	-0.012	0.015	0.4085	0.209	0.264	-0.1585	0.0915	0.4405	0.148	0.324	-0.137	-0.026	-0.202	-0.504	0.051	0.071	0.2565	0.192	-0.3445	0.593	-0.109	0.216	0.277	0.2675	0.123	-0.159	-0.025	0.014	0.2075	0.0675	-0.3715	0.074	0.0115	0.198	0.256	0.0965	0.039	-0.353	0.317	0.206	0.0295	0.075	0.2945	-0.005	0.2725	0.41	0.1365	0.1825	0.128	0.2085	0.3325	0.236
"TAF13"	2.705	-0.898	-0.844	-0.308	0.075	-0.227	0.798	0.77	-0.017	0.194	-0.267	0.045	0.855	-0.286	1.056	-0.135	1.445	-1.328	-0.156	-0.665	-0.59	-0.466	-0.496	0.435	-1.227	-0.201	0.395	-0.015	0.034	-0.864	-0.04	-0.373	0.01	-0.477	0.215	0.801	-0.18	-0.016	0.062	-0.03	-0.165	0	-0.136	-0.319	0	2.351	0.111	-0.029	0.031	-0.084	-0.084	-0.639	0.138	-0.022	0.168	1.403	-0.724	0.671	-1.281	2.083	0.086	-0.208	0.504	0.06	0.92	-1.213	-0.444	-0.232	0.928	0.129	-0.097	-0.102	0.274	1.075	0.42	-0.045	0.706	0.602	-0.193	-0.43	0.281	-0.246	-0.221	0.865	-0.129	-0.088	0.255	-0.003	-0.018
"TNFRSF12A"	2.708	2.729	3.237	2.2	2.326	1.655	2.006	1.552	1.593	2.109	1.548	1.579	2.696	2.326	2.08	2.771	2.578	1.507	1.458	2.12	1.94	1.827	2.357	1.009	2.155	2.198	1.336	1.462	2.121	2.383	1.829	2.051	1.707	1.8	1.431	0.878	2.354	2.283	1.736	0.768	1.746	2.038	1.204	1.295	1.196	0.511	2.163	1.444	1.423	1.088	1.146	1.696	0.467	1.78	2.283	1.684	1.649	1.37	1.592	-0.254	0.02	0.639	0.927	1.234	0.96	0.382	0.079	0.232	1.108	0.909	0.496	1.665	1.984	1.937	1.279	0.882	0.696	0.835	1.528	1.328	1.321	2.01	2.351	2.366	1.619	1.463	1.556	0.802	1.423
"TOMM40"	0.430333333333333	0.725	0.464333333333333	0.714666666666667	0.656	0.426333333333333	0.428333333333333	0.256333333333333	0.404333333333333	0.381	0.178666666666667	0.365	0.786666666666667	0.404333333333333	0.181	0.132666666666667	-0.103333333333333	0.780333333333333	0.451333333333333	0.5	0.321666666666667	0.505333333333333	0.483333333333333	0.886666666666667	0.748666666666667	0.537333333333333	0.217333333333333	0.2	0.008	0.329666666666667	0.288333333333333	0.36	0.438333333333333	0.403	0.521	0.16	0.234	0.622666666666667	0.542333333333333	0.497333333333333	0.344	0.734	0.201666666666667	0.485	1.081	0.435666666666667	0.489	0.532666666666667	0.406666666666667	0.558	0.629666666666667	0.492666666666667	0.347666666666667	0.612	1.075	0.556	1.047	0.57	0.406333333333333	0.0473333333333333	0.606666666666667	0.641333333333333	0.187333333333333	0.567333333333333	0.371666666666667	0.759666666666667	0.542666666666667	0.061	0.549333333333333	0.581666666666667	0.433333333333333	0.526666666666667	0.389666666666667	0.682666666666667	0.506333333333333	0.348333333333333	0.559333333333333	0.490333333333333	0.279666666666667	0.550333333333333	0.378333333333333	0.299666666666667	0.430666666666667	0.202666666666667	0.260333333333333	0.523333333333333	0.361666666666667	0.564	0.267333333333333
"TUBB2A"	-0.466	-0.1525	-0.144	0.0355	0.0025	-0.289	-0.4715	-0.1165	0.152	-0.4255	-0.26	-0.51	-0.275	-0.3035	-0.454	0.097	0.1395	-0.3875	-0.3645	0.0925	-0.094	-0.038	-0.1665	-0.6305	-0.322	-0.051	-0.729	-0.4365	-0.1955	-0.2435	-0.7365	-0.5595	-0.099	-0.788	-0.733	-0.9515	-0.319	-0.3805	-0.8475	-0.2775	-0.378	-0.402	-0.7495	-0.636	-0.5235	-0.874	-0.5365	-0.4225	-0.365	-0.589	-0.1865	-0.4765	-0.9655	-0.054	-0.0985	-0.552	-0.458	-0.4155	-0.4255	-1.8095	-1.2395	-0.044	-0.2695	0.0155	-0.6225	-0.423	-0.5015	-0.7085	-0.2035	-0.257	-0.2765	-0.723	-0.604	-0.2785	-0.2805	-0.258	-0.4295	-0.3105	-0.00650000000000001	-0.429	-0.522	-0.607	-0.5235	-0.5115	-0.4615	-0.437	-0.4795	-0.388	-0.5705
"UBE2J1"	0.829	0.286	0.853	0.261	-0.152	0.348	0.355	0.888	1.163	0.577	0.564	0.131	0.794	1.227	0.549	0.759	0.574	0.809	0.633	0.37	0.545	0.4	0.846	1.067	0.772	0.689	0.233	0.757	0.858	1.078	0.846	0.675	0.341	0.332	0.476	0.206	0.528	0.738	0.747	0.165	0.719	0.871	0.504	0.107	0.057	-0.2	0.916	1.077	0.777	0.343	-0.062	0.617	0.49	0.861	1.259	1.402	0.574	0.463	0.868	0.059	0.463	0.366	0.454	0.578	0.451	0.222	0.341	0.42	1.188	0.559	0.199	0.591	0.333	0.422	0.564	0.63	0.447	0.547	0.788	0.557	0.615	0.819	0.747	0.722	0.248	0.624	0.221	0.603	0.687
